ID,Formula,Name,Field,Type
1,Force = mass * Accelaration,Newten,Physics: Mechanics,Normal
2,Force =  Electric_field * charge,Electric Force,Physics: EM,Normal
3,angular_frequency = 2 * pi_ * frequency,Frequency and angular frequency,Physics - Optics - EM - QM ,Normal
4,frequency = 1 / time_period,Frequency and time period,Physics - Optics - EM - QM - Mechanics,Normal
5,photon_energy = number_of_photons * Planck_ * frequency,Photon Energy,Physics - Optics - QM,Normal
6,kinetic_energy = 1/2 * mass * Velocity**2,kinetic energy,Physics - Mechanics,Normal
7,angular_frequency_bandwidth  = 4 * .log(2) / time_bandwidth,Frequency Bandwidth,Physics - Optics - QM,Normal
8,frequency  * wavelength = c0_/refractive_index,Frequency and wavelength,Physics - Optics - QM,Normal
9,wavelength_bandwidth = 2 * .log(2) * wavelength_center**2/(pi_ * c0_/refractive_index * time_bandwidth),Wavelength bandwidth,Physics - Optics - QM,Normal
10,angular_frequency  =  2*pi_/ time_period,angular frequency,Physics,Normal
11,wavelength = 2 * pi_ * c0_/(refractive_index * angular_frequency),wavelength,Physics,Normal
12,flux_intensity = max_flux_intensity * .exp(- time/decay_constant),flux_intensity,Physics - Optics - EM - QM - N,Normal
13,resonant_angular_frequency = .sqrt(angular_frequency**2 - 2 * damping_parameter**2),,,
14,damping_parameter = Velocity/(2 * mass),,,
